Sector,Coordinates
Sector 55,"28.4281° N, 77.1100° E"
Sector 56,"28.4245° N, 77.0991° E"
Sector 57,"28.4232° N, 77.0752° E"
Sector 58,"28.4200° N, 77.1105° E"
Sector 59,"28.4051° N, 77.1097° E"
Sector 60,"28.4003° N, 77.0975° E"
Sector 61,"28.4050° N, 77.0963° E"
Sector 62,"28.4139° N, 77.0886° E"
Sector 63,"28.3971° N, 77.0867° E"
Sector 63a,"28.3923° N, 77.0888° E"
Sector 64,"28.3903° N, 77.0752° E"
Sector 65,"28.4030° N, 77.0690° E"
Sector 66,"28.3925° N, 77.0541° E"
Sector 67,"28.3859° N, 77.0608° E"
Sector 67a,"28.3790° N, 77.0552° E"
Sector 68,"28.3853° N, 77.0484° E"
Sector 69,"28.3966° N, 77.0341° E"
Sector 70,"28.3968° N, 77.0233° E"
Sector 71,"28.4104° N, 77.0281° E"
Sector 72,"28.4225° N, 77.0211° E"
Sector 73,"28.4072° N, 77.0118° E"
Sector 74,"28.4158° N, 77.0118° E"
Sector 75,"28.3925° N, 77.0089° E"
Sector 76,"28.3935° N, 76.9888° E"
Sector 77,"28.3801° N, 76.9845° E"
Sector 78,"28.3733° N, 76.9729° E"
Sector 79,"28.3624° N, 76.9787° E"
Sector 80,"28.3659° N, 76.9557° E"
Sector 81,"28.3867° N, 76.9485° E"
Sector 82,"28.3935° N, 76.9600° E"
Sector 82a,"28.3858° N, 76.9686° E"
Sector 83,"28.3986° N, 76.9647° E"
Sector 84,"28.3979° N, 76.9736° E"
Sector 85,"28.4042° N, 76.9513° E"
Sector 86,"28.3986° N, 76.9384° E"
Sector 87,"28.3936° N, 76.9312° E"
Sector 88,"28.4220° N, 76.9571° E"
Sector 88a,"28.4347° N, 76.9557° E"
Sector 88b,"28.4446° N, 76.9542° E"
Sector 89,"28.4253° N, 76.9439° E"
Sector 90,"28.4085° N, 76.9369° E"
Sector 91,"28.4014° N, 76.9225° E"
Sector 92,"28.4079° N, 76.9153° E"
Sector 93,"28.4153° N, 76.9326° E"
Sector 94,"28.4223° N, 76.9312° E"
Sector 95,"28.4172° N, 76.9081° E"
Sector 96,"28.3966° N, 76.8735° E"
Sector 97,"28.4086° N, 76.8793° E"
Sector 98,"28.4192° N, 76.8995° E"
Sector 99,"28.4640° N, 76.9614° E"
Sector 99a,"28.4561° N, 76.9542° E"
Sector 100,"28.4613° N, 76.9708° E"
Sector 101,"28.4672° N, 76.9801° E"
Sector 102,"28.4750° N, 76.9715° E"
Sector 103,"28.4949° N, 76.9845° E"
Sector 104,"28.4788° N, 76.9960° E"
Sector 105,"28.4952° N, 77.0114° E"
Sector 106,"28.5007° N, 77.0003° E"
Sector 107,"28.5052° N, 76.9729° E"
Sector 108,"28.5134° N, 76.9830° E"
Sector 109,"28.5073° N, 77.0089° E"
Sector 110,"28.5145° N, 77.0197° E"
Sector 111,"28.5238° N, 77.0320° E"
Sector 112,"28.5282° N, 77.0176° E"
Sector 113,"28.5287° N, 77.0233° E"
Sector 114,"28.5334° N, 77.0118° E"
Sector 115,"28.5385° N, 77.0061° E"
gwal pahari,"28.4139° N, 77.0324° E"
manesar,"28.3362° N, 76.9314° E"
